id,title,release_year,watched_at,rating,url
m-2024-0001,You Are Not My Mother,2021, 01-01,0,https://g.co/kgs/p3jDtmz
m-2024-0002,The Abandoned,2015, 01-03,0,https://g.co/kgs/MNGZ37h
m-2024-0003,No Hard Feelings,2023, 01-08,0,https://g.co/kgs/UbxT1eE
m-2024-0004,The Equalizer 3,2023, 01-14,1,https://g.co/kgs/X8Siyw7
m-2024-0005,The Brothers Sun,2023, 01-23,1,https://g.co/kgs/17BGbPF
m-2024-0006,The Trip,2021, 01-25,0,https://g.co/kgs/cd5bSxA
m-2024-0007,Jackass Forever,2022, 02-07,0,https://g.co/kgs/wr922VQ
m-2024-0008,The Marvels,2023, 02-11,0,https://g.co/kgs/Nk2Y64H
m-2024-0009,Speak No Evil,2022, 02-13,1,https://g.co/kgs/wyrb1Di
m-2024-0010,Arctic Ascent With Alex Honnold,2024, 02-14,0,https://g.co/kgs/Uc4YAg5
